sample,fastq_1,fastq_2,antibody,control
NP_H3K9me3_IP,data/SRR006805.fastq.gz,,H3K9me3,NP_INPUT
NP_H3K9me3_IP,data/SRR006848.fastq.gz,,H3K9me3,NP_INPUT
NP_H3K9me3_IP,data/SRR006849.fastq.gz,,H3K9me3,NP_INPUT
NP_H3K4me3_IP,data/SRR006888.fastq.gz,,H3K4me3,NP_INPUT
NP_H3K4me3_IP,data/SRR006889.fastq.gz,,H3K4me3,NP_INPUT
NP_H3K36me3_IP,data/SRR007333.fastq.gz,,H3K36me3,NP_INPUT
NP_H3K36me3_IP,data/SRR007334.fastq.gz,,H3K36me3,NP_INPUT
NP_H3K27me3_IP,data/SRR007425.fastq.gz,,H3K27me3,NP_INPUT
NP_H3K27me3_IP,data/SRR007426.fastq.gz,,H3K27me3,NP_INPUT
MEF_H3K9me3_IP,data/SRR007429.fastq.gz,,H3K9me3,MEF_INPUT
MEF_H3K9me3_IP,data/SRR007430.fastq.gz,,H3K9me3,MEF_INPUT
MEF_H3K4me3_IP,data/SRR006799.fastq.gz,,H3K4me3,MEF_INPUT
MEF_H3K4me3_IP,data/SRR006835.fastq.gz,,H3K4me3,MEF_INPUT
MEF_H3K4me3_IP,data/SRR006836.fastq.gz,,H3K4me3,MEF_INPUT
MEF_H3K4me3_IP,data/SRR006837.fastq.gz,,H3K4me3,MEF_INPUT
MEF_H3K4me3_IP,data/SRR006838.fastq.gz,,H3K4me3,MEF_INPUT
MEF_H3K36me3_IP,data/SRR007431.fastq.gz,,H3K36me3,MEF_INPUT
MEF_H3K36me3_IP,data/SRR007432.fastq.gz,,H3K36me3,MEF_INPUT
MEF_H3K27me3_IP,data/SRR006797.fastq.gz,,H3K27me3,MEF_INPUT
MEF_H3K27me3_IP,data/SRR006822.fastq.gz,,H3K27me3,MEF_INPUT
MEF_H3K27me3_IP,data/SRR006823.fastq.gz,,H3K27me3,MEF_INPUT
MEF_H3K27me3_IP,data/SRR006824.fastq.gz,,H3K27me3,MEF_INPUT
MEF_H3K27me3_IP,data/SRR006825.fastq.gz,,H3K27me3,MEF_INPUT
ESHyb_H3K9me3_IP,data/SRR007443.fastq.gz,,H3K9me3,ES_INPUT
ESHyb_H3K9me3_IP,data/SRR007444.fastq.gz,,H3K9me3,ES_INPUT
ESHyb_H3K4me3_IP,data/SRR007441.fastq.gz,,H3K4me3,ES_INPUT
ESHyb_H3K4me3_IP,data/SRR007442.fastq.gz,,H3K4me3,ES_INPUT
ESHyb_H3K36me3_IP,data/SRR007439.fastq.gz,,H3K36me3,ES_INPUT
ESHyb_H3K36me3_IP,data/SRR007440.fastq.gz,,H3K36me3,ES_INPUT
ES_RPol2_IP,data/SRR006792.fastq.gz,,RPol2,ES_INPUT
ES_H4K20me3_IP,data/SRR007437.fastq.gz,,H4K20me3,ES_INPUT
ES_H4K20me3_IP,data/SRR007438.fastq.gz,,H4K20me3,ES_INPUT
ES_H3K9me3_IP,data/SRR007435.fastq.gz,,H3K9me3,ES_INPUT
ES_H3K9me3_IP,data/SRR007436.fastq.gz,,H3K9me3,ES_INPUT
ES_H3K4me3_IP,data/SRR006789.fastq.gz,,H3K4me3,ES_INPUT
ES_H3K4me3_IP,data/SRR006828.fastq.gz,,H3K4me3,ES_INPUT
ES_H3K4me3_IP,data/SRR006829.fastq.gz,,H3K4me3,ES_INPUT
ES_H3K4me3_IP,data/SRR006830.fastq.gz,,H3K4me3,ES_INPUT
ES_H3K4me3_IP,data/SRR006831.fastq.gz,,H3K4me3,ES_INPUT
ES_H3K4me3_IP,data/SRR006832.fastq.gz,,H3K4me3,ES_INPUT
ES_H3K36me3_IP,data/SRR007433.fastq.gz,,H3K36me3,ES_INPUT
ES_H3K36me3_IP,data/SRR007434.fastq.gz,,H3K36me3,ES_INPUT
ES_H3K27me3_IP,data/SRR006787.fastq.gz,,H3K27me3,ES_INPUT
ES_H3K27me3_IP,data/SRR006813.fastq.gz,,H3K27me3,ES_INPUT
ES_H3K27me3_IP,data/SRR006814.fastq.gz,,H3K27me3,ES_INPUT
ES_H3K27me3_IP,data/SRR006815.fastq.gz,,H3K27me3,ES_INPUT
ES_H3K27me3_IP,data/SRR006816.fastq.gz,,H3K27me3,ES_INPUT
ES_H3K27me3_IP,data/SRR006817.fastq.gz,,H3K27me3,ES_INPUT
ES_H3K27me3_IP,data/SRR006818.fastq.gz,,H3K27me3,ES_INPUT
ES_H3_IP,data/SRR006786.fastq.gz,,pan-H3,ES_INPUT
NP_INPUT,data/SRR006806.fastq.gz,,,
MEF_INPUT,data/SRR007427.fastq.gz,,,
MEF_INPUT,data/SRR007428.fastq.gz,,,
ES_INPUT,data/SRR006793.fastq.gz,,,
